Code,Name
abr,"Abbey Road"
als,"All Saints"
ban,"Bank"
bec,"Beckton"
bep,"Beckton Park"
bla,"Blackwall"
boc,"Bow Church"
caw,"Canary Wharf"
cat,"Canning Town"
cro,"Crossharbour"
cuh,"Custom House"
cus,"Cutty Sark"
cyp,"Cyprus"
deb,"Deptford Bridge"
der,"Devons Road"
eai,"East India"
elr,"Elverson Road"
gar,"Gallions Reach"
gre,"Greenwich"
heq,"Heron Quays"
isg,"Island Gardens"
kgv,"King George V"
lap,"Langdon Park"
lew,"Lewisham"
lim,"Limehouse"
lca,"London City Airport"
mud,"Mudchute"
pop,"Poplar"
pdk,"Pontoon Dock"
prr,"Prince Regent"
pml,"Pudding Mill Lane"
roa,"Royal Albert"
rov,"Royal Victoria"
sha,"Shadwell"
soq,"South Quay"
stl,"Star Lane"
str,"Stratford"
shs,"Stratford High Street"
sti,"Stratford International"
tog,"Tower Gateway"
wes,"Westferry"
weh,"West Ham"
wiq,"West India Quay"
wst,"West Silvertown"
woa,"Woolwich Arsenal"
