"Node1","Node2","Line"
"Acton Central","Kensal Rise","National Rail"
"Acton Central","South Acton","National Rail"
"Acton Town","Chiswick Park","District"
"Acton Town","Chiswick Park","District"
"Acton Town","Ealing Common","District"
"Acton Town","Ealing Common","Piccadilly"
"Acton Town","South Ealing","Piccadilly"
"Acton Town","Turnham Green","Piccadilly"
"Aldgate East","Liverpool Street","Hammersmith & City"
"Aldgate East","Tower Hill","District"
"Aldgate East","Whitechapel","District"
"Aldgate East","Whitechapel","Hammersmith & City"
"Aldgate","Liverpool Street","Circle"
"Aldgate","Liverpool Street","Metropolitan"
"Aldgate","Tower Hill","Circle"
"All Saints","Devons Road","Docklands Light Railway"
"All Saints","Poplar","Docklands Light Railway"
"Alperton","Park Royal","Piccadilly"
"Alperton","Sudbury Town","Piccadilly"
"Amersham","Chalfont & Latimer","Metropolitan"
"Angel","King's Cross St. Pancras","Northern"
"Angel","Old Street","Northern"
"Archway","Highgate","Northern"
"Archway","Tufnell Park","Northern"
"Arnos Grove","Bounds Green","Piccadilly"
"Arnos Grove","Southgate","Piccadilly"
"Arsenal","Finsbury Park","Piccadilly"
"Arsenal","Holloway Road","Piccadilly"
"Baker Street","Bond Street","Jubilee"
"Baker Street","Edgware Road","Circle"
"Baker Street","Edgware Road","Hammersmith & City"
"Baker Street","Finchley Road","Metropolitan"
"Baker Street","Great Portland Street","Circle"
"Baker Street","Great Portland Street","Hammersmith & City"
"Baker Street","Great Portland Street","Metropolitan"
"Baker Street","Marylebone","Bakerloo"
"Baker Street","Regent's Park","Bakerloo"
"Baker Street","St. John's Wood","Jubilee"
"Balham","Clapham South","Northern"
"Balham","Tooting Bec","Northern"
"Bank","Liverpool Street","Central"
"Bank","London Bridge","Northern"
"Bank","Monument","Walk"
"Bank","Moorgate","Northern"
"Bank","Shadwell","Docklands Light Railway"
"Bank","St. Paul's","Central"
"Bank","Waterloo","Waterloo & City"
"Barbican","Farringdon","Circle"
"Barbican","Farringdon","Hammersmith & City"
"Barbican","Farringdon","Metropolitan"
"Barbican","Moorgate","Circle"
"Barbican","Moorgate","Hammersmith & City"
"Barbican","Moorgate","Metropolitan"
"Barking","East Ham","District"
"Barking","East Ham","Hammersmith & City"
"Barking","Upney","District"
"Barkingside","Fairlop","Central"
"Barkingside","Newbury Park","Central"
"Barons Court","Earl's Court","Piccadilly"
"Barons Court","Hammersmith","District"
"Barons Court","Hammersmith","Piccadilly"
"Barons Court","West Kensington","District"
"Bayswater","Notting Hill Gate","Circle"
"Bayswater","Notting Hill Gate","District"
"Bayswater","Paddington","Circle"
"Bayswater","Paddington","District"
"Beckton Park","Cyprus","Docklands Light Railway"
"Beckton Park","Royal Albert","Docklands Light Railway"
"Beckton","Gallions Reach","Docklands Light Railway"
"Becontree","Dagenham Heathway","District"
"Becontree","Upney","District"
"Belsize Park","Chalk Farm","Northern"
"Belsize Park","Hampstead","Northern"
"Bermondsey","Canada Water","Jubilee"
"Bermondsey","London Bridge","Jubilee"
"Bethnal Green","Liverpool Street","Central"
"Bethnal Green","Mile End","Central"
"Blackfriars","Mansion House","Circle"
"Blackfriars","Mansion House","District"
"Blackfriars","Temple","Circle"
"Blackfriars","Temple","District"
"Blackhorse Road","Tottenham Hale","Victoria"
"Blackhorse Road","Walthamstow Central","Victoria"
"Blackwall","East India","Docklands Light Railway"
"Blackwall","Poplar","Docklands Light Railway"
"Bond Street","Baker Street","Jubilee"
"Bond Street","Green Park","Jubilee"
"Bond Street","Marble Arch","Central"
"Bond Street","Oxford Circus","Central"
"Borough","Elephant & Castle","Northern"
"Borough","London Bridge","Northern"
"Boston Manor","Northfields","Piccadilly"
"Boston Manor","Osterley","Piccadilly"
"Bounds Green","Arnos Grove","Piccadilly"
"Bounds Green","Wood Green","Piccadilly"
"Bow Church","Bow Road","Walk"
"Bow Church","Devons Road","Docklands Light Railway"
"Bow Church","Pudding Mill Lane","Docklands Light Railway"
"Bow Road","Bow Church","Walk"
"Bow Road","Bromley-By-Bow","District"
"Bow Road","Bromley-By-Bow","Hammersmith & City"
"Bow Road","Mile End","District"
"Bow Road","Mile End","Hammersmith & City"
"Brent Cross","Golders Green","Northern"
"Brent Cross","Hendon Central","Northern"
"Brixton","Stockwell","Victoria"
"Bromley-By-Bow","Bow Road","District"
"Bromley-By-Bow","Bow Road","Hammersmith & City"
"Bromley-By-Bow","West Ham","District"
"Bromley-By-Bow","West Ham","Hammersmith & City"
"Brondesbury Park","Brondesbury","National Rail"
