stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,fsa_stop_id,fsa_stop_routes
NAC,"North Acton",,,,,NAC,C
CPK,"Canons Park",,,,,CPK,J
GST,"Goodge Street",,,,,GST,N
CPN,"Clapham North",,,,,CPN,N
EPY,"East Putney",,,,,EPY,D
HMP,"Hampstead",,,,,HMP,N
BOR,"Borough",,,,,BOR,N
BOS,"Boston Manor",,,,,BOS,P
OAK,"Oakwood",,,,,OAK,P
NEL,"North Ealing",,,,,NEL,P
EPP,"Epping",,,,,EPP,C
SGT,"Southgate",,,,,SGT,P
BGR,"Bounds Green",,,,,BGR,P
HBY,"Highbury & Islington",,,,,HBY,V
EPK,"Elm Park",,,,,EPK,D
WLO,"Waterloo",,,,,WLO,B;J;N;W
GHL,"Gants Hill",,,,,GHL,C
HBT,"High Barnet",,,,,HBT,N
WAT,"Watford",,,,,WAT,M
CPS,"Clapham South",,,,,CPS,N
AGR,"Arnos Grove",,,,,AGR,P
WLG,"Willesden Green",,,,,WLG,J
QPK,"Queen's Park",,,,,QPK,B
BWR,"Bow Road",,,,,BWR,O;D;H
HRF,"Heathrow Terminal 4",,,,,HRF,P
PIM,"Pimlico",,,,,PIM,V
HSD,"Harlesden",,,,,HSD,B
LYS,"Leytonstone",,,,,LYS,C
PIC,"Piccadilly Circus",,,,,PIC,B;P
THB,"Theydon Bois",,,,,THB,C
WRP,"West Ruislip",,,,,WRP,C
SPK,"Stonebridge Park",,,,,SPK,B
UXB,"Uxbridge",,,,,UXB,M;P
HST,"High Street Kensington",,,,,HST,O;D;H
VIC,"Victoria",,,,,VIC,O;D;H;V
HAW,"Harrow & Wealdstone",,,,,HAW,B
PRY,"Park Royal",,,,,PRY,P
HAI,"Hainault",,,,,HAI,C
CPC,"Clapham Common",,,,,CPC,N
CHF,"Chalk Farm",,,,,CHF,N
CHG,"Chigwell",,,,,CHG,C
WMS,"Westminster",,,,,WMS,O;D;H;J
QBY,"Queensbury",,,,,QBY,J
HRV,"Heathrow Terminal 5",,,,,HRV,P
KNB,"Knightsbridge",,,,,KNB,P
WEM,"Wembley Central",,,,,WEM,B
BNK,"Bank",,,,,BNK,C;N;W
RLN,"Rayners Lane",,,,,RLN,M;P
WDN,"Wimbledon",,,,,WDN,D
WAR,"Warwick Avenue",,,,,WAR,B
CHX,"Charing Cross",,,,,CHX,B;J;N
HRD,"Holloway Road",,,,,HRD,P
KNT,"Kenton",,,,,KNT,B
EHM,"East Ham",,,,,EHM,O;D;H
BNG,"Bethnal Green",,,,,BNG,C
SVS,"Seven Sisters",,,,,SVS,V
HRC,"Heathrow Terminals 1, 2, 3",,,,,HRC,P
GPS,"Great Portland Street",,,,,GPS,O;H;M
LAM,"Lambeth North",,,,,LAM,B
LAN,"Lancaster Gate",,,,,LAN,C
MAR,"Marble Arch",,,,,MAR,C
SNB,"Snaresbrook",,,,,SNB,C
RUM,"Ruislip Manor",,,,,RUM,M;P
SFS,"Southfields",,,,,SFS,D
RMD,"Richmond",,,,,RMD,D
KIL,"Kilburn",,,,,KIL,J
PAD,"Paddington",,,,,PAD,B;C;O
SFD,"Stratford",,,,,SFD,C;J
ALD,"Aldgate",,,,,ALD,O;H;M
OVL,"Oval",,,,,OVL,N
MAN,"Mansion House",,,,,MAN,O;D;H
SKT,"South Kenton",,,,,SKT,B
WMP,"Wimbledon Park",,,,,WMP,D
EMB,"Embankment",,,,,EMB,B;O;D;H;N
BEC,"Becontree",,,,,BEC,D
CRX,"Croxley",,,,,CRX,M
ETE,"Eastcote",,,,,ETE,M;P
RSQ,"Russell Square",,,,,RSQ,P
